Time	Timer	SetPoint [C]	 Temperatura [C]	 Sinal de Controle
9:35:07 PM	1.734375	48	106.22	62.49
9:35:07 PM	1.773438	48	106.22	65.99
9:35:07 PM	1.804688	48	106.22	69.87
9:35:07 PM	1.867188	48	106.22	73.75
9:35:07 PM	1.906250	48	105.55	76.9
9:35:07 PM	1.968750	48	106.22	81.47
9:35:07 PM	2.015625	48	106.91	86.09
9:35:07 PM	2.070313	48	106.22	89.27
9:35:07 PM	2.117188	48	106.22	93.16
9:35:07 PM	2.164063	48	106.22	97.04
9:35:07 PM	2.226563	48	106.22	100.92
9:35:07 PM	2.281250	48	106.22	104.8
9:35:07 PM	2.328125	48	106.91	109.43
9:35:07 PM	2.382813	48	106.22	112.61
9:35:07 PM	2.437500	48	105.55	115.77
9:35:07 PM	2.492188	48	106.22	120.33
9:35:07 PM	2.546875	48	106.22	124.21
9:35:07 PM	2.601563	48	106.91	128.83
9:35:07 PM	2.648438	48	106.91	132.76
9:35:08 PM	2.695313	48	106.91	136.68
9:35:08 PM	2.757813	48	106.91	140.61
9:35:08 PM	2.812500	48	106.91	144.54
9:35:08 PM	2.867188	48	107.62	149.23
9:35:08 PM	2.906250	48	106.91	152.44
9:35:08 PM	2.984375	48	106.91	156.37
9:35:08 PM	3.015625	48	106.91	160.3
9:35:08 PM	3.078125	48	106.22	163.48
9:35:08 PM	3.125000	48	106.22	167.37
9:35:08 PM	3.179688	48	106.22	171.25
9:35:08 PM	3.234375	48	105.55	174.41
9:35:08 PM	3.289063	48	105.55	178.25
9:35:08 PM	3.335938	48	104.89	181.37
9:35:08 PM	3.398438	48	104.89	185.17
9:35:08 PM	3.445313	48	104.24	188.27
9:35:08 PM	3.500000	48	104.24	192.02
9:35:08 PM	3.546875	48	104.24	195.77
9:35:08 PM	3.609375	48	104.24	199.52
9:35:08 PM	3.656250	48	103.61	202.59
9:35:09 PM	3.710938	48	102.99	205.64
9:35:09 PM	3.765625	48	102.99	209.31
9:35:09 PM	3.820313	48	102.99	212.98
9:35:09 PM	3.867188	48	102.38	215.99
9:35:09 PM	3.929688	48	101.79	218.98
9:35:09 PM	3.984375	48	101.79	222.57
9:35:09 PM	4.031250	48	101.79	226.16
9:35:09 PM	4.078125	48	101.2	229.12
9:35:09 PM	4.140625	48	100.63	232.05
9:35:09 PM	4.187500	48	100.63	235.57
9:35:09 PM	4.242188	48	100.07	238.47
9:35:09 PM	4.289063	48	100.07	241.95
9:35:09 PM	4.343750	48	99.52	244.83
9:35:09 PM	4.398438	48	98.93	247.64
9:35:09 PM	4.453125	48	98.93	251.04
9:35:09 PM	4.500000	48	98.4	253.86
9:35:09 PM	4.554688	48	97.88	255
9:35:09 PM	4.609375	48	97.37	255
9:35:09 PM	4.656250	48	97.37	255
9:35:10 PM	4.710938	48	96.83	255
9:35:10 PM	4.765625	48	96.34	255
9:35:10 PM	4.820313	48	95.85	255
9:35:10 PM	4.867188	48	94.87	255
9:35:10 PM	4.914063	48	94.87	255
9:35:10 PM	4.976563	48	94.41	255
9:35:10 PM	5.015625	48	93.47	255
9:35:10 PM	5.078125	48	93.47	255
9:35:10 PM	5.132813	48	93.03	255
9:35:10 PM	5.179688	48	92.56	255
9:35:10 PM	5.234375	48	92.13	255
9:35:10 PM	5.281250	48	91.23	255
9:35:10 PM	5.343750	48	90.83	255
9:35:10 PM	5.382813	48	90.39	255
9:35:10 PM	5.437500	48	89.58	255
9:35:10 PM	5.500000	48	89.58	255
9:35:10 PM	5.539063	48	89.16	255
9:35:10 PM	5.593750	48	88.78	255
9:35:10 PM	5.648438	48	88.38	255
9:35:10 PM	5.703125	48	87.59	255
9:35:11 PM	5.750000	48	87.23	255
9:35:11 PM	5.804688	48	86.47	255
9:35:11 PM	5.859375	48	86.1	255
9:35:11 PM	5.906250	48	85.73	255
9:35:11 PM	5.960938	48	85.37	255
9:35:11 PM	6.015625	48	85.01	255
9:35:11 PM	6.062500	48	84.31	255
9:35:11 PM	6.117188	48	83.97	255
9:35:11 PM	6.164063	48	83.29	255
9:35:11 PM	6.226563	48	82.96	255
9:35:11 PM	6.265625	48	82.31	255
9:35:11 PM	6.328125	48	81.96	255
9:35:11 PM	6.382813	48	81.34	255
9:35:11 PM	6.429688	48	81.03	255
9:35:11 PM	6.484375	48	80.7	255
9:35:11 PM	6.531250	48	80.1	255
9:35:11 PM	6.578125	48	79.78	255
9:35:11 PM	6.632813	48	79.2	255
9:35:11 PM	6.687500	48	78.61	255
9:35:12 PM	6.742188	48	78.04	255
9:35:12 PM	6.796875	48	77.74	255
9:35:12 PM	6.851563	48	77.45	255
9:35:12 PM	6.898438	48	76.61	255
9:35:12 PM	6.953125	48	76.36	255
9:35:12 PM	7.000000	48	75.81	255
9:35:12 PM	7.046875	48	75.81	255
9:35:12 PM	7.109375	48	75.02	255
9:35:12 PM	7.164063	48	74.5	255
9:35:12 PM	7.203125	48	73.98	255
9:35:12 PM	7.257813	48	73.48	255
9:35:12 PM	7.320313	48	72.99	255
9:35:12 PM	7.367188	48	72.5	255
9:35:12 PM	7.421875	48	72.25	255
9:35:12 PM	7.476563	48	71.78	255
9:35:12 PM	7.515625	48	71.3	255
9:35:12 PM	7.578125	48	70.84	255
9:35:12 PM	7.625000	48	70.6	255
9:35:12 PM	7.687500	48	69.93	255
9:35:13 PM	7.726563	48	69.69	255
9:35:13 PM	7.789063	48	69.25	255
9:35:13 PM	7.835938	48	68.82	255
9:35:13 PM	7.882813	48	68.39	255
9:35:13 PM	7.937500	48	67.54	255
9:35:13 PM	8.000000	48	67.54	255
9:35:13 PM	8.046875	48	67.33	255
9:35:13 PM	8.101563	48	66.91	255
9:35:13 PM	8.148438	48	66.5	255
9:35:13 PM	8.195313	48	66.1	255
9:35:13 PM	8.250000	48	65.9	255
9:35:13 PM	8.296875	48	65.7	255
9:35:13 PM	8.359375	48	65.1	255
9:35:13 PM	8.406250	48	64.91	255
9:35:13 PM	8.460938	48	64.7	255
9:35:13 PM	8.507813	48	64.33	255
9:35:13 PM	8.578125	48	63.94	255
9:35:13 PM	8.617188	48	63.57	255
9:35:13 PM	8.671875	48	63	255
9:35:14 PM	8.726563	48	62.83	255
9:35:14 PM	8.773438	48	62.46	255
9:35:14 PM	8.835938	48	62.1	255
9:35:14 PM	8.875000	48	61.92	255
9:35:14 PM	8.929688	48	61.56	255
9:35:14 PM	8.984375	48	61.38	255
9:35:14 PM	9.031250	48	61.03	255
9:35:14 PM	9.085938	48	60.68	255
9:35:14 PM	9.132813	48	60.51	255
9:35:14 PM	9.179688	48	60.17	255
9:35:14 PM	9.242188	48	59.82	255
9:35:14 PM	9.296875	48	59.66	255
9:35:14 PM	9.351563	48	59.32	255
9:35:14 PM	9.398438	48	59.16	255
9:35:14 PM	9.445313	48	58.82	255
9:35:14 PM	9.500000	48	58.5	255
9:35:14 PM	9.546875	48	58.34	255
9:35:14 PM	9.609375	48	58.01	255
9:35:14 PM	9.656250	48	57.86	255
9:35:15 PM	9.703125	48	57.69	255
9:35:15 PM	9.765625	48	57.53	255
9:35:15 PM	9.820313	48	57.21	255
9:35:15 PM	9.867188	48	57.05	255
9:35:15 PM	9.914063	48	56.74	255
9:35:15 PM	9.968750	48	56.58	255
9:35:15 PM	10.015630	48	56.43	255
9:35:15 PM	10.078130	48	56.12	255
9:35:15 PM	10.125000	48	55.97	255
9:35:15 PM	10.171880	48	55.67	255
9:35:15 PM	10.226560	48	55.51	255
9:35:15 PM	10.281250	48	55.37	255
9:35:15 PM	10.335940	48	55.06	255
9:35:15 PM	10.382810	48	54.77	255
9:35:15 PM	10.437500	48	54.47	255
9:35:15 PM	10.492190	48	54.18	255
9:35:15 PM	10.546880	48	54.18	255
9:35:15 PM	10.585940	48	54.03	255
9:35:15 PM	10.648440	48	53.74	255
9:35:15 PM	10.703130	48	53.6	255
9:35:16 PM	10.750000	48	53.32	255
9:35:16 PM	10.804690	48	53.17	255
9:35:16 PM	10.851560	48	52.89	255
9:35:16 PM	10.914060	48	52.74	255
9:35:16 PM	10.953130	48	52.6	255
9:35:16 PM	11.007810	48	52.33	255
9:35:16 PM	11.062500	48	52.19	255
9:35:16 PM	11.117190	48	51.91	255
9:35:16 PM	11.164060	48	51.77	255
9:35:16 PM	11.210940	48	51.63	255
9:35:16 PM	11.273440	48	51.36	255
9:35:16 PM	11.328130	48	51.22	255
9:35:16 PM	11.375000	48	51.09	255
9:35:16 PM	11.429690	48	50.82	255
9:35:16 PM	11.484380	48	50.68	255
9:35:16 PM	11.531250	48	50.42	255
9:35:16 PM	11.585940	48	50.42	255
9:35:16 PM	11.632810	48	50.15	255
9:35:16 PM	11.679690	48	50.02	255
9:35:17 PM	11.742190	48	49.88	255
9:35:17 PM	11.796880	48	49.62	255
9:35:17 PM	11.843750	48	49.49	255
9:35:17 PM	11.890630	48	49.37	255
9:35:17 PM	11.953130	48	49.23	255
9:35:17 PM	12.000000	48	49.11	255
9:35:17 PM	12.046880	48	48.85	255
9:35:17 PM	12.101560	48	48.72	255
9:35:17 PM	12.156250	48	48.59	255
9:35:17 PM	12.203130	48	48.34	255
9:35:17 PM	12.257810	48	48.34	255
9:35:17 PM	12.312500	48	48.21	255
9:35:17 PM	12.367190	48	48.08	255
9:35:17 PM	12.414060	48	47.83	255
9:35:17 PM	12.468750	48	47.71	255
9:35:17 PM	12.523440	48	47.58	255
9:35:17 PM	12.562500	48	47.58	255
9:35:17 PM	12.625000	48	47.58	255
9:35:17 PM	12.679690	48	47.33	255
9:35:18 PM	12.734380	48	47.33	255
9:35:18 PM	12.781250	48	47.08	255
9:35:18 PM	12.835940	48	47.08	255
9:35:18 PM	12.882810	48	46.96	255
9:35:18 PM	12.929690	48	46.84	255
9:35:18 PM	12.992190	48	46.71	255
9:35:18 PM	13.039060	48	46.71	255
9:35:18 PM	13.093750	48	46.47	255
9:35:18 PM	13.140630	48	46.47	255
9:35:18 PM	13.203130	48	46.47	255
9:35:18 PM	13.250000	48	46.35	255
9:35:18 PM	13.296880	48	46.35	255
9:35:18 PM	13.351560	48	46.23	255
9:35:18 PM	13.406250	48	46.23	255
9:35:18 PM	13.453130	48	45.99	255
9:35:18 PM	13.507810	48	45.99	255
9:35:18 PM	13.554690	48	45.87	255
9:35:18 PM	13.609380	48	45.74	255
9:35:18 PM	13.671880	48	45.74	255
9:35:19 PM	13.726560	48	45.51	255
9:35:19 PM	13.773440	48	45.51	255
9:35:19 PM	13.812500	48	45.51	255
9:35:19 PM	13.875000	48	45.39	255
9:35:19 PM	13.929690	48	45.15	255
9:35:19 PM	13.984380	48	45.15	255
9:35:19 PM	14.023440	48	45.04	255
9:35:19 PM	14.085940	48	44.91	255
9:35:19 PM	14.132810	48	44.8	255
9:35:19 PM	14.179690	48	44.8	255
9:35:19 PM	14.242190	48	44.68	255
9:35:19 PM	14.289060	48	44.57	255
9:35:19 PM	14.335940	48	44.57	255
9:35:19 PM	14.390630	48	44.44	255
9:35:19 PM	14.445310	48	44.33	255
9:35:19 PM	14.500000	48	44.21	255
9:35:19 PM	14.546880	48	44.21	255
9:35:19 PM	14.601560	48	44.21	255
9:35:19 PM	14.656250	48	44.1	255
9:35:20 PM	14.710940	48	43.98	255
9:35:20 PM	14.757810	48	43.86	255
9:35:20 PM	14.812500	48	43.86	255
9:35:20 PM	14.867190	48	43.75	255
9:35:20 PM	14.914060	48	43.75	255
9:35:20 PM	14.960940	48	43.75	255
9:35:20 PM	15.023440	48	43.64	255
9:35:20 PM	15.078130	48	43.52	255
9:35:20 PM	15.125000	48	43.52	255
9:35:20 PM	15.171880	48	43.41	255
9:35:20 PM	15.218750	48	43.29	255
9:35:20 PM	15.289060	48	43.29	255
9:35:20 PM	15.335940	48	43.18	255
9:35:20 PM	15.382810	48	43.07	255
9:35:20 PM	15.437500	48	43.29	255
9:35:20 PM	15.484380	48	42.95	255
9:35:20 PM	15.546880	48	42.84	255
9:35:20 PM	15.585940	48	42.84	255
9:35:20 PM	15.640630	48	42.84	255
9:35:20 PM	15.695310	48	42.73	255
9:35:21 PM	15.750000	48	42.61	255
9:35:21 PM	15.796880	48	42.61	255
9:35:21 PM	15.851560	48	42.5	255
9:35:21 PM	15.906250	48	42.5	255
9:35:21 PM	15.960940	48	42.39	255
9:35:21 PM	16.007810	48	42.28	255
9:35:21 PM	16.062500	48	42.28	255
9:35:21 PM	16.101560	48	42.17	255
9:35:21 PM	16.164060	48	42.17	255
9:35:21 PM	16.210940	48	42.05	255
9:35:21 PM	16.273440	48	42.05	255
9:35:21 PM	16.328130	48	41.94	255
9:35:21 PM	16.375000	48	41.94	255
9:35:21 PM	16.421880	48	41.83	255
9:35:21 PM	16.484380	48	41.83	255
9:35:21 PM	16.523440	48	41.72	255
9:35:21 PM	16.578130	48	41.61	255
9:35:21 PM	16.640630	48	41.61	255
9:35:21 PM	16.679690	48	41.61	255
9:35:22 PM	16.734380	48	41.5	255
9:35:22 PM	16.789060	48	41.5	255
9:35:22 PM	16.843750	48	41.5	255
9:35:22 PM	16.890630	48	41.39	255
9:35:22 PM	16.953130	48	41.39	255
9:35:22 PM	17.000000	48	41.28	255
9:35:22 PM	17.046880	48	41.28	255
9:35:22 PM	17.101560	48	41.28	255
9:35:22 PM	17.156250	48	41.28	255
9:35:22 PM	17.195310	48	41.17	255
9:35:22 PM	17.257810	48	41.17	255
9:35:22 PM	17.304690	48	41.17	255
9:35:22 PM	17.359380	48	40.63	255
9:35:22 PM	17.406250	48	41.06	255
9:35:22 PM	17.468750	48	40.95	255
9:35:22 PM	17.515630	48	40.85	255
9:35:22 PM	17.562500	48	40.85	255
9:35:22 PM	17.625000	48	40.74	255
9:35:22 PM	17.671880	48	40.85	255
9:35:23 PM	17.718750	48	40.74	255
9:35:23 PM	17.773440	48	40.63	255
9:35:23 PM	17.835940	48	40.63	255
9:35:23 PM	17.882810	48	40.63	255
9:35:23 PM	17.929690	48	40.63	255
9:35:23 PM	17.984380	48	40.52	255
9:35:23 PM	18.039060	48	40.52	255
9:35:23 PM	18.085940	48	40.52	255
9:35:23 PM	18.140630	48	40.41	255
9:35:23 PM	18.187500	48	40.41	255
9:35:23 PM	18.250000	48	40.41	255
9:35:23 PM	18.289060	48	40.31	255
9:35:23 PM	18.351560	48	40.31	255
9:35:23 PM	18.398440	48	40.41	255
9:35:23 PM	18.453130	48	40.31	255
9:35:23 PM	18.507810	48	40.31	255
9:35:23 PM	18.562500	48	40.2	255
9:35:23 PM	18.609380	48	40.2	255
9:35:23 PM	18.671880	48	40.2	255
9:35:24 PM	18.718750	48	40.09	255
9:35:24 PM	18.773440	48	40.09	255
9:35:24 PM	18.828130	48	40.09	255
9:35:24 PM	18.875000	48	40.09	255
9:35:24 PM	18.921880	48	40.09	255
9:35:24 PM	18.976560	48	39.98	255
9:35:24 PM	19.023440	48	39.98	255
9:35:24 PM	19.078130	48	40.2	255
9:35:24 PM	19.132810	48	39.98	255
9:35:24 PM	19.179690	48	39.87	255
9:35:24 PM	19.226560	48	39.87	255
9:35:24 PM	19.289060	48	39.87	255
9:35:24 PM	19.343750	48	39.77	255
9:35:24 PM	19.390630	48	39.77	255
9:35:24 PM	19.445310	48	39.77	255
9:35:24 PM	19.500000	48	39.66	255
9:35:24 PM	19.546880	48	39.66	255
9:35:24 PM	19.593750	48	39.66	255
9:35:24 PM	19.656250	48	39.66	255
9:35:25 PM	19.695310	48	39.66	255
9:35:25 PM	19.757810	48	39.56	255
9:35:25 PM	19.812500	48	39.56	255
9:35:25 PM	19.867190	48	39.56	255
9:35:25 PM	19.906250	48	39.56	255
9:35:25 PM	19.968750	48	39.56	255
9:35:25 PM	20.015630	48	39.45	255
9:35:25 PM	20.062500	48	39.45	255
9:35:25 PM	20.117190	48	39.45	255
9:35:25 PM	20.171880	48	39.45	255
9:35:25 PM	20.226560	48	39.45	255
9:35:25 PM	20.273440	48	39.34	255
9:35:25 PM	20.328130	48	39.24	255
9:35:25 PM	20.382810	48	39.24	255
9:35:25 PM	20.429690	48	39.24	255
9:35:25 PM	20.476560	48	39.24	255
9:35:25 PM	20.539060	48	39.24	255
9:35:25 PM	20.585940	48	39.24	255
9:35:25 PM	20.640630	48	39.13	255
9:35:25 PM	20.695310	48	39.13	255
9:35:26 PM	20.750000	48	39.13	255
9:35:26 PM	20.796880	48	39.03	255
9:35:26 PM	20.851560	48	39.03	255
9:35:26 PM	20.906250	48	39.03	255
9:35:26 PM	20.953130	48	38.92	255
9:35:26 PM	21.000000	48	38.82	255
9:35:26 PM	21.062500	48	38.92	255
9:35:26 PM	21.109380	48	38.92	255
9:35:26 PM	21.164060	48	38.82	255
9:35:26 PM	21.218750	48	38.82	255
9:35:26 PM	21.265630	48	38.82	255
9:35:26 PM	21.312500	48	38.82	255
9:35:26 PM	21.367190	48	38.71	255
9:35:26 PM	21.421880	48	38.92	255
9:35:26 PM	21.468750	48	38.82	255
9:35:26 PM	21.531250	48	38.71	255
9:35:26 PM	21.578130	48	38.71	255
9:35:26 PM	21.632810	48	38.61	255
9:35:26 PM	21.679690	48	38.71	255
9:35:27 PM	21.734380	48	38.71	255
9:35:27 PM	21.781250	48	38.71	255
9:35:27 PM	21.828130	48	38.71	255
9:35:27 PM	21.890630	48	38.71	255
9:35:27 PM	21.945310	48	38.71	255
9:35:27 PM	22.000000	48	38.61	255
9:35:27 PM	22.039060	48	38.71	255
9:35:27 PM	22.101560	48	38.71	255
9:35:27 PM	22.148440	48	38.71	255
9:35:27 PM	22.195310	48	38.71	255
9:35:27 PM	22.257810	48	38.71	255
9:35:27 PM	22.304690	48	38.82	255
9:35:27 PM	22.367190	48	38.71	255
9:35:27 PM	22.414060	48	38.61	255
9:35:27 PM	22.460940	48	38.71	255
9:35:27 PM	22.515630	48	38.71	255
9:35:27 PM	22.562500	48	38.71	255
9:35:27 PM	22.617190	48	38.71	255
9:35:27 PM	22.671880	48	38.61	255
9:35:28 PM	22.726560	48	38.71	255
9:35:28 PM	22.773440	48	38.61	255
9:35:28 PM	22.828130	48	38.61	255
9:35:28 PM	22.882810	48	38.61	255
9:35:28 PM	22.929690	48	38.82	255
9:35:28 PM	22.976560	48	38.61	255
9:35:28 PM	23.031250	48	38.61	255
9:35:28 PM	23.078130	48	38.61	255
9:35:28 PM	23.140630	48	38.82	255
9:35:28 PM	23.195310	48	38.61	255
9:35:28 PM	23.242190	48	38.71	255
9:35:28 PM	23.289060	48	38.61	255
9:35:28 PM	23.351560	48	38.82	255
9:35:28 PM	23.398440	48	38.61	255
9:35:28 PM	23.445310	48	38.61	255
9:35:28 PM	23.500000	48	38.61	255
9:35:28 PM	23.554690	48	38.61	255
9:35:28 PM	23.617190	48	38.61	255
9:35:28 PM	23.664060	48	38.61	255
9:35:29 PM	23.710940	48	38.61	255
9:35:29 PM	23.765630	48	38.61	255
9:35:29 PM	23.812500	48	38.61	255
9:35:29 PM	23.867190	48	38.61	255
9:35:29 PM	23.921880	48	38.61	255
9:35:29 PM	23.976560	48	38.5	255
9:35:29 PM	24.023440	48	38.5	255
9:35:29 PM	24.078130	48	38.5	255
9:35:29 PM	24.125000	48	38.4	255
9:35:29 PM	24.171880	48	38.5	255
9:35:29 PM	24.234380	48	38.5	255
9:35:29 PM	24.289060	48	38.4	255
9:35:29 PM	24.335940	48	38.4	255
9:35:29 PM	24.382810	48	38.29	255
9:35:29 PM	24.445310	48	38.29	255
9:35:29 PM	24.500000	48	38.19	255
9:35:29 PM	24.546880	48	38.19	255
9:35:29 PM	24.593750	48	38.19	255
9:35:29 PM	24.648440	48	38.29	255
9:35:29 PM	24.695310	48	38.19	255
9:35:30 PM	24.750000	48	38.19	255
9:35:30 PM	24.804690	48	38.19	255
9:35:30 PM	24.867190	48	38.29	255
9:35:30 PM	24.906250	48	38.19	255
9:35:30 PM	24.960940	48	38.09	255
9:35:30 PM	25.015630	48	38.09	255
9:35:30 PM	25.062500	48	38.09	255
9:35:30 PM	25.117190	48	38.09	255
9:35:30 PM	25.171880	48	38.09	255
9:35:30 PM	25.226560	48	37.98	255
9:35:30 PM	25.273440	48	37.98	255
9:35:30 PM	25.328130	48	37.98	255
9:35:30 PM	25.375000	48	37.88	255
9:35:30 PM	25.421880	48	37.88	255
9:35:30 PM	25.484380	48	37.88	255
9:35:30 PM	25.539060	48	37.78	255
9:35:30 PM	25.585940	48	37.88	255
9:35:30 PM	25.632810	48	37.88	255
9:35:30 PM	25.695310	48	37.88	255
9:35:31 PM	25.750000	48	37.78	255
9:35:31 PM	25.796880	48	37.78	255
9:35:31 PM	25.843750	48	37.78	255
9:35:31 PM	25.898440	48	37.78	255
9:35:31 PM	25.945310	48	37.78	255
9:35:31 PM	26.000000	48	37.88	255
9:35:31 PM	26.054690	48	37.78	255
9:35:31 PM	26.109380	48	37.78	255
9:35:31 PM	26.156250	48	37.88	255
9:35:31 PM	26.210940	48	37.78	255
9:35:31 PM	26.265630	48	37.78	255
9:35:31 PM	26.304690	48	37.78	255
9:35:31 PM	26.367190	48	37.67	255
9:35:31 PM	26.421880	48	37.78	255
9:35:31 PM	26.476560	48	37.78	255
9:35:31 PM	26.523440	48	37.78	255
9:35:31 PM	26.578130	48	37.78	255
9:35:31 PM	26.625000	48	37.78	255
9:35:31 PM	26.671880	48	37.88	255
9:35:32 PM	26.734380	48	37.88	255
9:35:32 PM	26.781250	48	37.98	255
9:35:32 PM	26.835940	48	37.98	255
9:35:32 PM	26.882810	48	37.98	255
9:35:32 PM	26.945310	48	37.98	255
9:35:32 PM	26.992190	48	37.98	255
9:35:32 PM	27.039060	48	37.98	255
9:35:32 PM	27.093750	48	37.88	254.75
9:35:32 PM	27.148440	48	37.88	254.07
9:35:32 PM	27.195310	48	37.88	253.4
9:35:32 PM	27.250000	48	37.78	252.61
9:35:32 PM	27.304690	48	37.78	251.93
9:35:32 PM	27.359380	48	37.78	251.25
9:35:32 PM	27.398440	48	37.78	250.57
9:35:32 PM	27.460940	48	37.78	249.89
9:35:32 PM	27.515630	48	37.78	249.21
9:35:32 PM	27.570310	48	37.67	248.41
9:35:32 PM	27.617190	48	37.67	247.72
9:35:32 PM	27.664060	48	37.67	247.04
9:35:33 PM	27.726560	48	37.67	246.35
9:35:33 PM	27.765630	48	37.67	245.66
9:35:33 PM	27.828130	48	37.67	244.97
9:35:33 PM	27.875000	48	37.57	244.17
9:35:33 PM	27.921880	48	37.67	243.59
9:35:33 PM	27.984380	48	37.57	242.79
9:35:33 PM	28.031250	48	37.57	242.1
9:35:33 PM	28.078130	48	37.57	241.4
9:35:33 PM	28.140630	48	37.47	240.59
9:35:33 PM	28.187500	48	37.47	239.89
9:35:33 PM	28.250000	48	37.47	239.19
9:35:33 PM	28.289060	48	37.57	238.6
9:35:33 PM	28.343750	48	37.57	237.91
9:35:33 PM	28.398440	48	37.47	237.1
9:35:33 PM	28.445310	48	37.47	236.4
9:35:33 PM	28.500000	48	37.47	235.69
9:35:33 PM	28.554690	48	37.37	234.88
9:35:33 PM	28.609380	48	37.37	234.17
9:35:33 PM	28.664060	48	37.37	233.46
9:35:34 PM	28.718750	48	37.37	232.76
9:35:34 PM	28.765630	48	37.37	232.05
9:35:34 PM	28.812500	48	37.37	231.34
9:35:34 PM	28.875000	48	37.37	230.63
9:35:34 PM	28.921880	48	37.47	230.03
9:35:34 PM	28.968750	48	37.37	229.22
9:35:34 PM	29.023440	48	37.47	228.62
9:35:34 PM	29.078130	48	37.47	227.92
9:35:34 PM	29.125000	48	37.37	227.1
9:35:34 PM	29.171880	48	37.37	226.4
9:35:34 PM	29.226560	48	37.37	225.69
9:35:34 PM	29.281250	48	37.37	224.98
9:35:34 PM	29.335940	48	37.37	224.27
9:35:34 PM	29.382810	48	37.26	223.45
9:35:34 PM	29.437500	48	37.37	222.84
9:35:34 PM	29.500000	48	37.26	222.02
9:35:34 PM	29.539060	48	37.26	221.31
9:35:34 PM	29.593750	48	37.16	220.48
9:35:34 PM	29.648440	48	37.16	219.76
9:35:34 PM	29.695310	48	37.26	219.15
9:35:35 PM	29.750000	48	37.16	218.32
9:35:35 PM	29.796880	48	37.26	217.71
9:35:35 PM	29.859380	48	37.16	216.88
9:35:35 PM	29.906250	48	37.16	216.16
9:35:35 PM	29.960940	48	37.16	215.44
9:35:35 PM	30.015630	48	37.26	214.83
9:35:35 PM	30.062500	48	37.26	214.11
9:35:35 PM	30.117190	48	37.26	213.39
9:35:35 PM	30.164060	48	37.26	212.68
9:35:35 PM	30.226560	48	37.26	211.96
9:35:35 PM	30.273440	48	37.37	211.36
9:35:35 PM	30.320310	48	37.37	210.65
9:35:35 PM	30.382810	48	37.37	209.94
9:35:35 PM	30.429690	48	37.47	209.34
9:35:35 PM	30.476560	48	37.47	208.64
9:35:35 PM	30.531250	48	37.47	207.94
9:35:35 PM	30.578130	48	37.47	207.23
9:35:35 PM	30.632810	48	37.47	206.53
9:35:35 PM	30.687500	48	37.57	205.94
9:35:36 PM	30.750000	48	37.47	205.13
9:35:36 PM	30.789060	48	37.47	204.43
9:35:36 PM	30.843750	48	37.47	203.73
9:35:36 PM	30.898440	48	37.37	202.92
9:35:36 PM	30.945310	48	37.47	202.32
9:35:36 PM	31.000000	48	37.47	201.62
9:35:36 PM	31.046880	48	37.47	200.92
9:35:36 PM	31.109380	48	37.47	200.21
9:35:36 PM	31.156250	48	37.47	199.51
9:35:36 PM	31.210940	48	37.47	198.81
9:35:36 PM	31.257810	48	37.47	198.11
9:35:36 PM	31.304690	48	37.67	197.62
9:35:36 PM	31.367190	48	37.57	196.83
9:35:36 PM	31.421880	48	37.57	196.13
9:35:36 PM	31.468750	48	37.57	195.44
9:35:36 PM	31.515630	48	37.47	194.63
9:35:36 PM	31.578130	48	37.67	194.15
9:35:36 PM	31.625000	48	37.67	193.46
9:35:36 PM	31.679690	48	37.67	192.77
9:35:37 PM	31.726560	48	37.78	192.19
9:35:37 PM	31.781250	48	37.88	191.62
9:35:37 PM	31.835940	48	37.88	190.95
9:35:37 PM	31.882810	48	37.88	190.27
9:35:37 PM	31.937500	48	37.98	189.71
9:35:37 PM	31.992190	48	37.88	188.93
9:35:37 PM	32.039060	48	37.88	188.25
9:35:37 PM	32.093750	48	37.88	187.58
9:35:37 PM	32.148440	48	37.88	186.9
9:35:37 PM	32.203130	48	37.88	186.23
9:35:37 PM	32.250000	48	37.98	185.66
9:35:37 PM	32.304690	48	37.98	185
9:35:37 PM	32.351560	48	37.98	184.33
9:35:37 PM	32.398440	48	37.98	183.66
9:35:37 PM	32.460940	48	37.98	182.99
9:35:37 PM	32.515630	48	37.98	182.32
9:35:37 PM	32.562500	48	38.09	181.77
9:35:37 PM	32.617190	48	37.88	180.89
9:35:37 PM	32.664060	48	38.09	180.44
9:35:38 PM	32.718750	48	38.09	179.77
9:35:38 PM	32.773440	48	38.09	179.11
9:35:38 PM	32.820310	48	37.88	178.23
9:35:38 PM	32.882810	48	38.09	177.78
9:35:38 PM	32.921880	48	38.09	177.12
9:35:38 PM	32.976560	48	38.09	176.46
9:35:38 PM	33.031250	48	38.19	175.91
9:35:38 PM	33.085940	48	38.29	175.36
9:35:38 PM	33.132810	48	38.29	174.71
9:35:38 PM	33.187500	48	38.29	174.07
9:35:38 PM	33.242190	48	38.4	173.53
9:35:38 PM	33.289060	48	38.4	172.89
9:35:38 PM	33.343750	48	38.4	172.25
9:35:38 PM	33.390630	48	38.4	171.61
9:35:38 PM	33.453130	48	38.61	171.2
9:35:38 PM	33.500000	48	38.5	170.46
9:35:38 PM	33.554690	48	38.5	169.82
9:35:38 PM	33.601560	48	38.5	169.19
9:35:38 PM	33.648440	48	38.61	168.67
9:35:39 PM	33.710940	48	38.61	168.04
9:35:39 PM	33.765630	48	38.61	167.42
9:35:39 PM	33.812500	48	38.71	166.9
9:35:39 PM	33.867190	48	38.61	166.17
